Statistical profiling result from isolate-0x3123660-v8.log, (621 ticks, 33 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     28    4.5%          /usr/bin/nodejs
     20    3.2%          /lib/x86_64-linux-gnu/libc-2.23.so
      7    1.1%          [vdso]
      1    0.2%          /lib/x86_64-linux-gnu/ld-2.23.so

 [JavaScript]:
   ticks  total  nonlib   name
      9    1.4%    1.6%  LazyCompile: *add native collection.js:113:16
      9    1.4%    1.6%  Builtin: CompileLazy
      8    1.3%    1.4%  LazyCompile: *InnerArrayFindIndex native array.js:1019:29
      8    1.3%    1.4%  Builtin: ArgumentsAdaptorTrampoline
      5    0.8%    0.9%  Stub: FastNewFunctionContextStub
      5    0.8%    0.9%  LazyCompile: *InnerArrayForEach native array.js:777:27
      5    0.8%    0.9%  Builtin: CallFunction_ReceiverIsAny
      4    0.6%    0.7%  LazyCompile: *moves.findIndex.move /var/www/noughtsandcrosses.com/www/js/solver.js:38:30
      3    0.5%    0.5%  Stub: LoadICTrampolineTFStub
      3    0.5%    0.5%  LazyCompile: ~moves /var/www/noughtsandcrosses.com/www/js/game.js:26:26
      3    0.5%    0.5%  LazyCompile: *minimax /var/www/noughtsandcrosses.com/www/js/minimax.js:15:17
      3    0.5%    0.5%  LazyCompile: *delete native collection.js:154:19
      3    0.5%    0.5%  LazyCompile: *InnerArrayFilter native array.js:756:26
      2    0.3%    0.4%  Stub: LoadGlobalICTrampolineStub
      2    0.3%    0.4%  Stub: FastNewClosureStub
      2    0.3%    0.4%  Stub: CallICStub(args(1), NOT_NULL_OR_UNDEFINED, 
      2    0.3%    0.4%  Stub: BinaryOpICStub(ADD:Smi*Generic->Smi)
      2    0.3%    0.4%  LazyCompile: ~soln.forEach.pos /var/www/noughtsandcrosses.com/www/js/solver.js:36:16
      2    0.3%    0.4%  LazyCompile: *exports.game /var/www/noughtsandcrosses.com/www/js/game.js:5:25
      1    0.2%    0.2%  Stub: ToLengthStub
      1    0.2%    0.2%  Stub: RecordWriteStub
      1    0.2%    0.2%  Stub: JSEntryStub
      1    0.2%    0.2%  Stub: HasPropertyStub
      1    0.2%    0.2%  Stub: ForInFilterStub
      1    0.2%    0.2%  Stub: AddStub
      1    0.2%    0.2%  LazyCompile: ~<anonymous> /var/www/noughtsandcrosses.com/www/node_modules/lodash/lodash.js:16830:34
      1    0.2%    0.2%  LazyCompile: *reduce native array.js:917:21
      1    0.2%    0.2%  LazyCompile: *map native array.js:833:18
      1    0.2%    0.2%  LazyCompile: *lines.lines.forEach.soln /var/www/noughtsandcrosses.com/www/js/solver.js:21:23
      1    0.2%    0.2%  LazyCompile: *getMoves /var/www/noughtsandcrosses.com/www/js/game.js:13:32
      1    0.2%    0.2%  LazyCompile: *findIndex native array.js:1031:24
      1    0.2%    0.2%  LazyCompile: *filter native array.js:769:21
      1    0.2%    0.2%  LazyCompile: *allMoves.filter /var/www/noughtsandcrosses.com/www/js/solver.js:52:26
      1    0.2%    0.2%  Handler: map
      1    0.2%    0.2%  Builtin: NonNumberToNumber
      1    0.2%    0.2%  Builtin: Call_ReceiverIsNullOrUndefined
      1    0.2%    0.2%  Builtin: Call_ReceiverIsAny
      1    0.2%    0.2%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined

 [C++]:
   ticks  total  nonlib   name
     91   14.7%   16.1%  node::ContextifyScript::New(v8::FunctionCallbackInfo<v8::Value> const&)
     41    6.6%    7.3%  write
     19    3.1%    3.4%  v8::internal::ScavengeWeakObjectRetainer::RetainAs(v8::internal::Object*)
      5    0.8%    0.9%  v8::internal::OrderedHashTable<v8::internal::OrderedHashSet, v8::internal::JSSetIterator, 1>::Rehash(v8::internal::Handle<v8::internal::OrderedHashSet>, int)
      5    0.8%    0.9%  v8::internal::Code::CopyFrom(v8::internal::CodeDesc const&)
      4    0.6%    0.7%  v8::internal::compiler::MoveOptimizer::MigrateMoves(v8::internal::compiler::Instruction*, v8::internal::compiler::Instruction*)
      4    0.6%    0.7%  v8::internal::Zone::New(unsigned long)
      4    0.6%    0.7%  v8::internal::VariableProxy::VariableProxy(v8::internal::AstRawString const*, v8::internal::VariableKind, int, int)
      4    0.6%    0.7%  v8::internal::Heap::AllocateFixedArray(int, v8::internal::PretenureFlag)
      4    0.6%    0.7%  v8::internal::AstValueFactory::GetOneByteStringInternal(v8::internal::Vector<unsigned char const>)
      4    0.6%    0.7%  __lll_lock_wait
      3    0.5%    0.5%  v8::internal::compiler::LiveRange::Covers(v8::internal::compiler::LifetimePosition) const
      3    0.5%    0.5%  v8::internal::Scanner::ScanIdentifierOrKeyword()
      3    0.5%    0.5%  v8::internal::Scanner::Scan()
      3    0.5%    0.5%  v8::internal::Scanner::PeekAhead()
      3    0.5%    0.5%  v8::internal::ParserBase<v8::internal::Parser>::ParseAssignmentExpression(bool, bool*)
      3    0.5%    0.5%  v8::internal::JSObject::AddDataElement(v8::internal::Handle<v8::internal::JSObject>, unsigned int, v8::internal::Handle<v8::internal::Object>, v8::internal::PropertyAttributes, v8::internal::Object::ShouldThrow)
      3    0.5%    0.5%  v8::internal::Heap::AllocateWeakCell(v8::internal::HeapObject*)
      3    0.5%    0.5%  __libc_malloc
      3    0.5%    0.5%  _IO_vfprintf
      2    0.3%    0.4%  void v8::internal::StringHasher::AddCharacters<unsigned char>(unsigned char const*, int)
      2    0.3%    0.4%  void v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::PromotionMode)1, (v8::internal::LoggingAndProfiling)0>::EvacuateObject<(v8::internal::ScavengingVisitor<(v8::internal::MarksHandling)1, (v8::internal::PromotionMode)1, (v8::internal::LoggingAndProfiling)0>::ObjectContents)1, (v8::internal::AllocationAlignment)0>(v8::internal::Map*, v8::internal::HeapObject**, v8::internal::HeapObject*, int)
      2    0.3%    0.4%  v8::internal::compiler::LiveRangeBuilder::ProcessInstructions(v8::internal::compiler::InstructionBlock const*, v8::internal::BitVector*)
